"tac";"handset_brand";"handset_model";"reporting_body";"approved_in";"gsm450";"gsm850";"gsm900";"gsm1800";"gsm1900";"gsmr";"gsm3";"foma";"iden800";"cdma800";"cdma1800";"cdma1900";"tdma";"satellite";
"'010073";"Motorola";"";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010074";"Nokia";"8290";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010077";"RIM";"R1900";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010078";"Xircom";"Eagle II 900 / 1900";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010079";"Nokia";"1112";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010080";"Nokia";"8800";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010081";"Nokia";"3390";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010083";"NovaTel";"NRM-2000";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010084";"Shintom";"GDU325";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010086";"Motorola";"T192";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010087";"Samsung";"SGH-Q105";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010088";"Motorola";"T-93";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010089";"Nokia";"3395";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010090";"Nokia";"3390";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010093";"Nokia";"8390";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010096";"Samsung";"SGH-R225";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'01009700";"Samsung";"SGH-N625";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010099";"OPTION";"Globetrotter GSM / GPRS radio card";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010100";"Sierra Wireless";"AirCard 710";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010101";"Sierra Wireless";"AirCard 750";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010102";"Ericsson";"T61Z";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010103";"Nokia";"6340";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010104";"Motorola";"V70";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010105";"Samsung";"SGH-R225";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'01010600";"Hiptop";"HT1";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010108";"Nokia";"9290";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010109";"Motorola";"T193m";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010110";"SonyEricsson";"GM48";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010111";"Siemens";"M46";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"";"";"1";"";"";"";"";"";"";"";"";"";"";
"'010113";"Motorola";"T191";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010114";"Nokia";"6590";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010115";"Palm";"Blackberry";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010118";"Nokia";"3590";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010119";"Nokia";"3590";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010121";"SonyEricsson";"T226";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010122";"Nokia";"3390";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010123";"Nokia";"3395";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010124";"SonyEricsson";"T620";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010125";"Samsung";"SGH-R225";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010127";"Siemens";"A56";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010128";"Nokia";"8390";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010129";"NovaTel";"Merlin G301";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010130";"Motorola";"T721";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010131";"Siemens";"C56";"PCS Type Certification Review Board (PTCRB)";"North America";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'01013200";"Samsung";"SGH-R225";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010133";"Samsung";"SGH-S105";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010134";"Siemens";"C56";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010135";"Psion";"Netpad 5110 / 5310 / 5510 / 5710";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010136";"Nokia";"6590i";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010137";"Nokia";"6590";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010141";"RIM";"6710";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010142";"Motorola";"T720i";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010144";"Nokia";"6310i";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010146";"Nokia";"31";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010147";"NEC";"515";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'01014800";"SonyEricsson";"GM28";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010152";"Samsung";"SGH-V205";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010154";"Siemens";"S56";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010156";"Siemens";"S56";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010157";"SonyEricsson";"T306 / T316";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010158";"SonyEricsson";"T306 / T316";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010160";"Amio";"Sidekick";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'01016100";"Nokia";"D311";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'01016300";"Motorola";"C350";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010164";"SonyEricsson";"T106";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010166";"Nokia";"3595";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010169";"Motorola";"T721";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010170";"Motorola";"T720";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'01017100";"Nokia";"3391";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'01017200";"Samsung";"SGH-E400";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010173";"Samsung";"SGH-S307";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010175";"Nokia";"6800a";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'01017900";"@Road";"iWM 3150";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010185";"Nokia";"3595";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'01018600";"Motorola";"F3003";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010187";"Nokia";"3600";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'01018800";"Motorola";"C333";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010189";"Motorola";"C333";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'01019000";"Sharp";"PV-100";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'01019100";"hiptop";"hiptop";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";
"'01019200";"Samsung";"SGH-R225m";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010193";"RIM";"6231GE";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010194";"RIM";"7230 Blackberry";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'01019600";"Samsung";"SGH-S300m";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010197";"SonyEricsson";"T616";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010199";"Nokia";"6800";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010200";"Nokia";"6100";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010201";"Siemens";"SL56";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010202";"Samsung";"SGH-R225";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010203";"Motorola";"C350";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010204";"RIM";"7210";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'01020500";"Motorola";"C350";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'01020600";"Nokia";"3395";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010208";"LG";"4011";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010209";"Siemens";"S46";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'01021000";"Nokia";"3390b";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010212";"Siemens";"A56";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010213";"Siemens";"A56";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010214";"Motorola";"C350";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010215";"Handspring";"Treo 600";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'01021600";"Ericsson";"T226";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010217";"Motorola";"T720";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010218";"Samsung";"SGH-X105";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'01022100";"Nokia";"6340i";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'01022200";"LG";"1400";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010223";"LG";"G4050";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010225";"Alcatel";"331p";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010226";"RIM";"6280";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010227";"RIM";"7280";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'01022800";"Danger";"Hiptop 2";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010229";"Siemens";"M56";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'01023400";"Nokia";"6341i";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";
"'010235";"Nokia";"6340i";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'01023700";"Blackberry";"7730";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010238";"RIM";"Blackberry 7780";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010239";"Samsung";"SGH-S300m";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'01024000";"Sagem";"X-2a";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'01024300";"Wavecom";"MultiTech";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010244";"NEC";"525";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'01024600";"Wavecom";"Q2426B";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"'010249";"SonyEricsson";"T62u";"PCS Type Certification Review Board (PTCRB)";"North America";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";
